SKU,NOMBRE,UBICACION-1,UBICACION-2,UBICACION-3
TC000280,Pelota de Tenis,,,
TC000264,Cable de Telefono 2 Pines,,,
TC000229,Carton Piedra 20x20 Cm,,,
TC000214,Balanza de Cocina - 5 Kg,Ex 21,39,
TC000010,Pelota de Ping Pong,,,
SETML014,Pack de 50 Torulas Nasofaringea- Esteril,,,
setml013,Tubo polipropileno 10 mL fondo conico 16 mm + tapa a presion externa - 100 unid,38,,
SETML012,STARTER KIT para lupa esteresocopica,Ex 14,,
SETML011,STARTER KIT para microscopios,Ex 14,,
SETML010,Sistema de filtración al vacío con núcleo de vidrio - Kitasato 500 mL - 40 - 47 mm,,,
SETML009,Sistema de filtración al vacío S - Kitasato 250 mL - Buchner diam int 54 mm,36,,
SETML008,Sistema de filtración al vacío M - Kitasato 500 mL - Buchner diam int 73 mm,36,,
SETML007,Sistema de filtración al vacío L - Kitasato 1000 mL - Buchner diam int 90 mm,36,,
SETML006,Tubo polipropileno 10 ml fondo conico 16 mm + tapa rosca - 100 unid,Ex 7,38,
SETML005,Tubo polipropileno 10 ml fondo conico 16 mm + tapa a presion interna - 100 unid,Ex 7,38,
SETML004,Tubo Tipo falcon de  de 15 mL sin Faldon - No Esteril  - Pack 50 unidades,Ex 7,38,
SETML003,Aguja de disección recta - Pack 12 unidades,18,,
SETML001,Set de 10 pinzas plásticas desechables - 10 cm,18,,
SETMD001,Diapasón 256 Hz + Martillo,,,
RV000151,SOBRE DE ENVÍO - BOLSA BURBUJA 12X17 CM - 500 UNID,,,
RV000149,Bolso para Microscopio- 30*20*45cm,41,,
RV000148,Cotona o Bata de Laboratorio Hombre - Talla XXL,Ex,29,
RV000127,Delantal o Bata de Laboratorio Mujer - Talla XL,Pasillo Salida,29,
RV000126,Delantal o Bata de Laboratorio Mujer- Talla XS,,,
RV000125,Cotona o Bata de Laboratorio Hombre - Talla Xl,Ex,29,
RV000119,Cotona o Bata de Laboratorio Hombre - Talla L,Ex,29,
RV000118,Cotona o Bata de Laboratorio Hombre - Talla M,Ex,29,
RV000117,Cotona o Bata de Laboratorio Hombre - Talla S,29,,
RV000106,Kit Escolar de Circuitos Electricos,Ex 9,9,
RV000090,Calculadora Cientifica,23,,
RV000071,Soporte de Techo para Proyector,,,
RV000027,Esfingomanometro de Mercurio,Ex 7,,
RV000019,Delantal o Bata de Laboratorio Mujer - Talla L,Ex,29,
RV000018,Delantal o Bata de Laboratorio Mujer - Talla M,Ex,29,
RV000017,Delantal o Bata de Laboratorio Mujer- Talla S,Ex,29,
RV000015,Estetoscopio,Ex 7,5,
RV000006,Autito de Juguete Pequeño,,,
RP0439X3,Alginato de sodio - Solucion 1.5% - 5 litros,,,
RP0281B4,Glicerina - 100 Ml,,,
RP0271F3,Alumbre de Potasio - 200 Gramos,,,
RP0254B1,Tolueno Tecnico - 1 Litro,,,
RP0250F3,Agar Luria Base - 100 Gramos,,,
RP0248D3,Indigo Carmin 1% - 10 Ml,28,,
RP0239B1,Acetona Pura - 1 Litro,30,,
RP0237F5,Yodato de Potasio P.a. - 50 Gramos,28,,
RP0227B1,Hexano Tecnico - 1 Litro,,,
RP0223F4,Silica Gel - 250 Gramos,,,
RP0218B1,Acido Sulfurico 3% - 1 Litro,,,
RP0214T6,Azul de Toluidina 1% - 100 ml,,,
RP0211F1,Hidroxido de Calcio - Tecnico - 1 Kg,,,
RP0202D2,"Safranina 0,50% - Gotero 30 Ml",,,
